"species","decimalLatitude","decimalLongitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_19","wc2.1_2.5m_elev"
"Diaphorina citri",21.883703,-102.307965,17.5388336181641,17.0550003051758,30.4160003662109,16.5086669921875,470,105.015106201172,33,1862
"Diaphorina citri",33.978635,-118.266351,18.8250007629395,12.5493335723877,30.0200004577637,22.7679996490479,362,100.553894042969,208,49
"Diaphorina citri",28.896133,-82.575387,21.3513336181641,12.9713335037231,33.2680015563965,18.8540000915527,1361,47.3698959350586,247,9
"Diaphorina citri",33.871001,-118.385965,17.2286109924316,8.70277786254883,25.2866668701172,20.2344436645508,319,100.925750732422,186,34
"Diaphorina citri",34.185595,-118.072942,16.4403343200684,13.5406665802002,31.4400005340576,22.4026660919189,481,92.9332962036133,252,772
"Diaphorina citri",33.915301,-118.353277,18.0311660766602,10.3730001449585,27.3920001983643,21.4540004730225,320,102.305854797363,188,24
"Diaphorina citri",18.525751,-70.005733,26.2059993743896,10.7199993133545,32.6520004272461,24.9179992675781,1788,44.4322204589844,222,42
"Diaphorina citri",20.325302,-89.424616,25.6434993743896,14.8336668014526,36.7280006408691,23.6893329620361,1129,68.8286514282227,96,51
"Diaphorina citri",-4.559667,39.129723,26.2373332977295,9.02733325958252,33.3520011901855,27.8333339691162,1115,63.2874374389648,206,50
"Diaphorina citri",34.200323,-118.157766,17.6628322601318,14.6069993972778,32.515998840332,23.1040000915527,466,99.4024276733398,259,385
"Diaphorina citri",34.016636,-118.287933,18.96266746521,12.8020000457764,30.4120006561279,22.9466667175293,373,100.494125366211,213,65
"Diaphorina citri",-6.83,37.650002,24.8209991455078,10.2053337097168,31.9680004119873,22.3899993896484,958,72.5755081176758,40,503
"Diaphorina citri",-6.840444,37.6675,21.8764991760254,9.39433288574219,28.4080009460449,19.5793342590332,1325,70.7270965576172,64,951
"Diaphorina citri",-6.04,39.24,26.2084999084473,8.07900047302246,32.1160011291504,24.5633335113525,1625,77.5404052734375,165,38
"Diaphorina citri",-6.64,39.13,26.0871658325195,9.19766616821289,32.439998626709,24.3600006103516,1021,70.6603851318359,94,63
"Diaphorina citri",-6.71597,38.7372,26.7411670684814,9.19566631317139,33.015998840332,25.0226669311523,1032,74.119499206543,71,54
"Diaphorina citri",-7.61,39.08,25.9473342895508,8.27999973297119,31.3640003204346,24.2566661834717,1090,81.3076705932617,65,111
"Diaphorina citri",-6.746917,37.888,24.7943325042725,9.67399978637695,31.4640007019043,22.4673328399658,1037,66.5984878540039,55,449
"Diaphorina citri",-6.75,37.89,25.0856666564941,9.78333282470703,31.8599987030029,22.7379989624023,1071,66.0848083496094,58,412
"Diaphorina citri",-7.04,37.830002,25.7154998779297,8.79433345794678,31.8039989471436,23.406665802002,1593,64.5885696411133,122,314
"Diaphorina citri",-6.78,37.66,24.9109992980957,10.4586668014526,32.1520004272461,22.441333770752,901,73.6791229248047,35,495
"Diaphorina citri",-6.84406,37.6625,24.2433338165283,9.78733348846436,31.1800003051758,21.8206672668457,1028,73.1716384887695,44,572
"Diaphorina citri",-6.99,37.56,23.1771659851074,9.76499938964844,30.0879993438721,20.7320003509521,1165,77.4454345703125,45,740
"Diaphorina citri",-6.91,37.57,24.5568332672119,10.1870002746582,31.8880004882812,22.0046672821045,1016,75.4905776977539,41,542
"Diaphorina citri",-7,37.57,21.2525005340576,9.36233329772949,27.7560005187988,18.9366664886475,1338,73.7544097900391,50,1056
"Diaphorina citri",34.067592,-118.232095,18.820333480835,13.2580003738403,31.0639991760254,23.1006660461426,403,101.811042785645,231,111
"Diaphorina citri",-5.15,38.86,25.4829998016357,8.73400020599365,32.4959983825684,23.4246673583984,1157,56.9281768798828,182,190
"Diaphorina citri",30.29417,-87.57361,19.8349533081055,9.79953765869141,31.9611110687256,16.3101844787598,1624,22.1297492980957,364,12
"Diaphorina citri",37.929079,23.513327,17.4199657440186,8.04062461853027,31.8374996185303,25.9624996185303,422,66.7753372192383,176,89
"Diaphorina citri",30.3038,-87.52739,19.8723964691162,9.60520839691162,31.9375,16.3666667938232,1622,22.6481800079346,360,12
"Diaphorina citri",25.79,-108.48,24.6494998931885,15.9089994430542,37.3720016479492,22.9139995574951,517,126.435859680176,53,40
"Diaphorina citri",32.1,72.6333,24.0384998321533,14.0050001144409,41.1720008850098,19.1266670227051,395,103.514930725098,48,187
"Diaphorina citri",32.15,73.0167,23.344165802002,13.5336666107178,40.1920013427734,18.4913330078125,410,102.977035522461,54,196
"Diaphorina citri",32.2,72.8,23.5104999542236,13.8283338546753,40.5200004577637,18.5920009613037,402,102.079727172852,51,193
"Diaphorina citri",30.966667,72.483333,24.6420001983643,14.5780000686646,41.7480010986328,19.6079998016357,265,100.71125793457,31,159
"Diaphorina citri",32.27,72.9,23.6674995422363,13.7896671295166,40.7639999389648,18.8059997558594,406,101.112770080566,54,194
"Diaphorina citri",26.301737,-98.163343,23.2953338623047,12.0260000228882,36.1119995117188,17.5100002288818,598,52.0329208374023,98,32
"Diaphorina citri",22.37,114.25,22.2840900421143,5.59696960449219,30.9454555511475,17.2727279663086,2145,77.8820266723633,107,73
"Diaphorina citri",8.39,99.97,27.6264991760254,9.18233299255371,34.0400009155273,27.9166679382324,2118,73.8821411132812,929,7
"Diaphorina citri",30.66,73.099998,24.7601661682129,14.1310005187988,41.2239990234375,19.8346672058105,290,111.294822692871,34,171
"Diaphorina citri",34.049999,-118.470001,17.0648326873779,10.6330003738403,26.8719997406006,20.1259994506836,367,101.62873840332,222,152
"Diaphorina citri",31.82526,72.80274,23.7046661376953,13.9406661987305,40.6559982299805,18.7706661224365,377,106.223999023438,44,180
"Diaphorina citri",9.9408,-84.0247,19.9858341217041,10.7963333129883,26.9160003662109,20.3840007781982,3572,44.7339782714844,756,1303
"Diaphorina citri",13.075,-59.5714,26.96875,6.15416622161865,30.9699993133545,26.218334197998,1607,41.6769638061523,255,34
"Diaphorina citri",1.296,103.7895,26.8881664276123,7.18100023269653,31.1280002593994,27.2046661376953,2375,20.7172241210938,772,22
"Diaphorina citri",4.1753,73.5089,28.5822925567627,4.27916669845581,31.8250007629395,28.6041679382324,1945,39.9972877502441,647,3
"Diaphorina citri",8.2884,73.0627,27.2444438934326,4.83333301544189,30.8999996185303,27.0722217559814,1657,69.9146270751953,256,10
"Diaphorina citri",3.0431,101.4407,27.4631671905518,9.3836669921875,32.6920013427734,27.6193332672119,2257,28.6277179718018,698,8
"Diaphorina citri",22.5474,85.8025,26.1156673431396,11.3739995956421,39.0719985961914,20.1280002593994,1291,115.104194641113,34,227
"Diaphorina citri",21.5222,70.4579,26.6153335571289,11.279333114624,35.6839981079102,23.1853332519531,812,161.737335205078,2,71
"Diaphorina citri",-20.9143,55.6019,23.5343742370605,6.19791650772095,29.1125011444092,22.5229167938232,1560,64.1312255859375,183,53
"Diaphorina citri",-6.6,106.8,25.1156673431396,7.79733324050903,29.7840003967285,25.0386657714844,3619,23.1724872589111,1085,267
"Diaphorina citri",1.2732,103.8465,26.7601184844971,6.78214311599731,30.9571418762207,27.2916660308838,2384,20.5684356689453,786,13
"Diaphorina citri",-7.6145,110.7122,26.2641658782959,8.49633407592773,31.3880004882812,25.8306674957275,2062,62.7609786987305,156,124
"Diaphorina citri",-22.3679,-46.9432,20.4383335113525,11.5533332824707,27.996000289917,17.216667175293,1382,74.9655227661133,85,630
"Diaphorina citri",-20.1465,57.5214,23.9755001068115,6.97166633605957,29.8039989471436,23.0359992980957,1627,55.9332160949707,218,39
"Diaphorina citri",21.2667,78.5833,26.2749996185303,12.720666885376,41.9039993286133,21.3546676635742,988,122.276229858398,36,428
"Diaphorina citri",23.8388,120.9876,16.3508338928223,5.72166633605957,23.1679992675781,12.8813333511353,2312,71.4057388305664,180,1430
"Diaphorina citri",26.2389,73.0243,26.7604999542236,13.154333114624,41.1759986877441,19.4726676940918,416,142.634536743164,9,217
"Diaphorina citri",-9.4816,147.1902,26.8481063842773,8.24242401123047,32.0909080505371,26.0272731781006,1525,54.6696166992188,185,70
"Diaphorina citri",26.1209,85.3647,24.8263339996338,11.6959991455078,36.5639991760254,18.0879993438721,998,120.965362548828,27,55
"Diaphorina citri",26.8453,75.7833,25.420166015625,13.1070003509521,40.0839996337891,17.7746658325195,615,150.811645507812,16,398
"Diaphorina citri",26.3589,91.1329,24.2663345336914,9.32999992370605,31.6240005493164,19.8040008544922,2113,91.9884490966797,36,42
"Diaphorina citri",27.8938,78.0681,25.2901668548584,13.3409996032715,41.1920013427734,28.5166664123535,799,140.924911499023,31,190
"Diaphorina citri",30.3165,78.0322,21.9498329162598,12.3489999771118,36.3720016479492,24.8026676177979,1933,133.282302856445,126,638
"Diaphorina citri",3.1071,101.6083,27.5413341522217,9.44600009918213,32.8199996948242,27.6520004272461,2346,28.4255199432373,683,38
"Diaphorina citri",23.8103,90.4125,26.007833480835,9.45699882507324,34,20.2586669921875,2137,84.998649597168,38,12
"Diaphorina citri",22.3964,114.1095,21.0346660614014,5.90066623687744,29.6639995574951,15.9913330078125,2034,77.0015716552734,105,353
"Diaphorina citri",34.015,71.5805,22.8438339233398,13.2983331680298,40.4879989624023,18.0686664581299,537,57.6585731506348,119,325
"Diaphorina citri",20.6845,78.8395,27.3959999084473,13.2326669692993,43.6520004272461,21.8853340148926,1187,128.810989379883,26,226
"Diaphorina citri",28.2887,129.3874,20.783166885376,4.92500019073486,30.2040004730225,14.4913330078125,2563,34.1248550415039,433,193
"Diaphorina citri",12.9716,77.5946,24.0219993591309,10.2926664352417,33.8279991149902,23.5979995727539,817,86.4239044189453,72,915
