"species","decimalLatitude","decimalLongitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_19","wc2.1_2.5m_elev"
"Diaphorina citri",-25.5625,-49.4375,17.1728324890137,10.6836671829224,25.9720001220703,13.5433330535889,1397,28.7360229492188,256,895
"Diaphorina citri",10.6041666666667,39.1041666666667,16.0711669921875,14.7950000762939,25.6200008392334,14.9980001449585,1017,114.85131072998,33,2482
"Diaphorina citri",10.1041666666667,29.9791666666667,27.8423328399658,13.7506666183472,38.3559989929199,27.0573329925537,719,108.794799804688,452,420
"Diaphorina citri",14.7291666666667,7.64583333333331,27.6439990997314,13.3493328094482,39.4640007019043,24.8293342590332,305,160.023345947266,0,445
"Diaphorina citri",24.7708333333333,113.8125,19.9253330230713,8.18466663360596,32.7159996032715,12.6673336029053,1593,64.3710479736328,177,178
"Diaphorina citri",-9.6875,21.6875,22.3698329925537,13.7363338470459,31.6720008850098,21.0179996490479,1383,82.6247253417969,14,1075
"Diaphorina citri",27.5625,46.1041666666667,25.8444995880127,14.6743335723877,45.2000007629395,36.4373321533203,212,83.2227172851562,83,389
"Diaphorina citri",9.4375,-5.77083333333334,26.7563343048096,11.0786666870117,35.6319999694824,27.0993347167969,1194,85.5326843261719,659,385
"Diaphorina citri",5.8125,-1.1875,26.1846675872803,7.7819995880127,32.1240005493164,26.6219997406006,1541,49.5792350769043,365,152
"Diaphorina citri",44.6875,-93.9791666666667,6.7645001411438,11.8150005340576,28.3880004882812,-9.12866687774658,742,52.4731063842773,61,300
"Diaphorina citri",18.1041666666667,77.6458333333333,27.0071659088135,13.1016664505005,41.5400009155273,23.484001159668,1024,116.342147827148,24,514
"Diaphorina citri",15.6458333333333,32.9375,29.2211666107178,15.5476655960083,41.7280006408691,24.8366661071777,132,157.914123535156,0,414
"Diaphorina citri",20.6458333333333,74.6041666666667,26.5636672973633,14.9686660766602,41.2120018005371,24.4160003662109,560,109.62629699707,31,453
"Diaphorina citri",37.2291666666667,-101.3125,12.9619998931885,15.9499998092651,34.3680000305176,1.26800012588501,462,62.457103729248,30,952
"Diaphorina citri",32.5208333333333,113.395833333333,14.664999961853,9.48400020599365,30.3360004425049,3.14666676521301,961,64.2510147094727,63,248
